ClassName,LCOM
AbstractAnnotation: LCOM[0.55]
AbstractXYAnnotation: LCOM[0.5]
Annotation: LCOM[0]
CategoryAnnotation: LCOM[0]
CategoryLineAnnotation: LCOM[0.7301587301587302]
CategoryPointerAnnotation: LCOM[0.8571428571428572]
CategoryTextAnnotation: LCOM[0.575]
TextAnnotation: LCOM[0.8541666666666666]
XYAnnotation: LCOM[0]
XYAnnotationBoundsInfo: LCOM[0]
XYBoxAnnotation: LCOM[0.7692307692307692]
XYDataImageAnnotation: LCOM[0.7142857142857143]
XYDrawableAnnotation: LCOM[0.746031746031746]
XYImageAnnotation: LCOM[0.7]
XYLineAnnotation: LCOM[0.7619047619047619]
XYPointerAnnotation: LCOM[0.8571428571428572]
XYPolygonAnnotation: LCOM[0.56]
XYShapeAnnotation: LCOM[0.33333333333333337]
XYTextAnnotation: LCOM[0.8888888888888888]
XYTitleAnnotation: LCOM[0.7115384615384616]
PublicCloneable: LCOM[0]
RectangleInsets: LCOM[0.7857142857142857]
Axis: LCOM[0.9632034632034632]
AxisCollection: LCOM[0.6]
AxisSpace: LCOM[0.5111111111111111]
AxisState: LCOM[0.696969696969697]
CategoryAxis: LCOM[0.9327731092436975]
CategoryLabelPosition: LCOM[0.7321428571428572]
CategoryLabelPositions: LCOM[0.8666666666666667]
CategoryTick: LCOM[0.33333333333333337]
CompassFormat: LCOM[1.0]
CyclicNumberAxis: LCOM[0.8787878787878788]
DateAxis: LCOM[0.9261363636363636]
DateTick: LCOM[0.0]
DateTickUnit: LCOM[0.7738095238095238]
ExtendedCategoryAxis: LCOM[0.65]
LogarithmicAxis: LCOM[0.8851851851851852]
LogAxis: LCOM[0.8383458646616542]
LogTick: LCOM[0.0]
MarkerAxisBand: LCOM[0.5416666666666667]
ModuloAxis: LCOM[0.41666666666666663]
MonthDateFormat: LCOM[0.33333333333333337]
NumberAxis: LCOM[0.952020202020202]
NumberTick: LCOM[0.0]
NumberTickUnit: LCOM[0.5]
NumberTickUnitSource: LCOM[0.8333333333333334]
PeriodAxis: LCOM[0.8728682170542635]
PeriodAxisLabelInfo: LCOM[0.8724489795918368]
QuarterDateFormat: LCOM[0.7777777777777778]
StandardTickUnitSource: LCOM[1.0]
SubCategoryAxis: LCOM[0.7115384615384616]
SymbolAxis: LCOM[0.8428571428571429]
Tick: LCOM[0.7142857142857143]
TickUnit: LCOM[0.6666666666666667]
TickUnits: LCOM[0.5625]
TickUnitSource: LCOM[0]
Timeline: LCOM[0]
ValueAxis: LCOM[0.960261569416499]
ValueTick: LCOM[0.33333333333333337]
AbstractBlock: LCOM[0.8175675675675675]
Arrangement: LCOM[0]
Block: LCOM[0]
BlockBorder: LCOM[0.6666666666666667]
BlockContainer: LCOM[0.641025641025641]
BlockFrame: LCOM[0]
BlockParams: LCOM[0.6666666666666667]
BlockResult: LCOM[0.0]
BorderArrangement: LCOM[0.33333333333333337]
CenterArrangement: LCOM[1.0]
ColorBlock: LCOM[0.625]
ColumnArrangement: LCOM[0.8222222222222222]
EmptyBlock: LCOM[1.0]
EntityBlockParams: LCOM[0]
EntityBlockResult: LCOM[0]
FlowArrangement: LCOM[0.8666666666666667]
GridArrangement: LCOM[0.7435897435897436]
LabelBlock: LCOM[0.7947368421052632]
LineBorder: LCOM[0.6071428571428572]
RectangleConstraint: LCOM[0.5204081632653061]
Size2D: LCOM[0.5833333333333333]
ChartColor: LCOM[0.9583333333333334]
ChartElement: LCOM[0]
ChartElementVisitor: LCOM[0]
ChartFactory: LCOM[0.36]
ChartHints: LCOM[0]
ChartRenderingInfo: LCOM[0.5909090909090908]
ChartTheme: LCOM[0]
ChartTransferable: LCOM[0.65625]
ChartUtils: LCOM[0]
MonthConstants: LCOM[0]
SerialDate: LCOM[0.9936886395511921]
SpreadsheetDate: LCOM[0.8777777777777778]
Drawable: LCOM[0]
EncoderUtil: LCOM[0]
ImageEncoder: LCOM[0]
ImageEncoderFactory: LCOM[0.5]
ImageFormat: LCOM[0]
SunJPEGEncoderAdapter: LCOM[0.5]
SunPNGEncoderAdapter: LCOM[0]
AxisEntity: LCOM[0.8571428571428572]
CategoryItemEntity: LCOM[0.625]
CategoryLabelEntity: LCOM[0.0]
ChartEntity: LCOM[0.7352941176470589]
EntityCollection: LCOM[0]
FlowEntity: LCOM[0.0]
JFreeChartEntity: LCOM[0.8571428571428572]
LegendItemEntity: LCOM[0.6785714285714286]
NodeEntity: LCOM[0.0]
PieSectionEntity: LCOM[0.6909090909090909]
PlotEntity: LCOM[0.8571428571428572]
StandardEntityCollection: LCOM[0.5]
TickLabelEntity: LCOM[0]
TitleEntity: LCOM[0.8571428571428572]
XYAnnotationEntity: LCOM[0.5]
XYItemEntity: LCOM[0.65625]
AnnotationChangeEvent: LCOM[0.0]
AnnotationChangeListener: LCOM[0]
AxisChangeEvent: LCOM[0.0]
AxisChangeListener: LCOM[0]
ChartChangeEvent: LCOM[0.5]
ChartChangeListener: LCOM[0]
ChartProgressEvent: LCOM[0.6666666666666667]
ChartProgressListener: LCOM[0]
MarkerChangeEvent: LCOM[0.0]
MarkerChangeListener: LCOM[0]
PlotChangeEvent: LCOM[0.0]
PlotChangeListener: LCOM[0]
RendererChangeEvent: LCOM[0.5]
RendererChangeListener: LCOM[0]
TitleChangeEvent: LCOM[0.0]
TitleChangeListener: LCOM[0]
DynamicDriveToolTipTagFragmentGenerator: LCOM[0.0]
ImageMapUtils: LCOM[0]
OverLIBToolTipTagFragmentGenerator: LCOM[0]
StandardToolTipTagFragmentGenerator: LCOM[0]
StandardURLTagFragmentGenerator: LCOM[0]
ToolTipTagFragmentGenerator: LCOM[0]
URLTagFragmentGenerator: LCOM[0]
Args: LCOM[0]
ArrayUtils: LCOM[0]
CloneUtils: LCOM[0]
HashUtils: LCOM[0]
LineUtils: LCOM[0]
PaintUtils: LCOM[0]
SerialUtils: LCOM[0]
ShapeUtils: LCOM[1.0]
JFreeChart: LCOM[0.9339285714285714]
AbstractCategoryItemLabelGenerator: LCOM[0.7]
AbstractPieItemLabelGenerator: LCOM[0.5625]
