GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JFreeChart-2.0,org.jfree.chart.api,VerticalAlignment,0,21,0,0,0,4,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,RectangleEdge,24,57,9,9,9,10,9,8,1,4
JFreeChart-2.0,org.jfree.chart.api,RectangleInsets,365,317,36,20,66,81,32,26,7,23
JFreeChart-2.0,org.jfree.chart.api,RectangleAlignment,5,237,1,12,1,60,1,13,0,2
JFreeChart-2.0,org.jfree.chart.api,SortOrder,0,15,0,0,0,3,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,RectangleAnchor,131,141,15,5,26,31,15,6,0,3
JFreeChart-2.0,org.jfree.chart.api,TableOrder,0,15,0,0,0,3,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,XYCoordinateType,0,21,0,0,0,4,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,HorizontalAlignment,0,21,0,0,0,4,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,LengthAdjustmentType,0,21,0,0,0,4,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,UnitType,0,15,0,0,0,3,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,Layer,0,15,0,0,0,3,0,1,0,1
JFreeChart-2.0,org.jfree.chart.api,Rotation,0,28,0,0,0,7,0,3,0,3
JFreeChart-2.0,org.jfree.chart.plot,PlotRenderingInfo,73,147,9,11,16,42,9,16,2,13
JFreeChart-2.0,org.jfree.chart.plot,CombinedDomainXYPlot,364,556,59,53,95,151,55,33,15,17
JFreeChart-2.0,org.jfree.chart.plot,PolarPlot,1187,1151,174,104,303,295,157,77,54,41
JFreeChart-2.0,org.jfree.chart.plot,DatasetRenderingOrder,0,15,0,0,0,3,0,1,0,1
JFreeChart-2.0,org.jfree.chart.plot,DialShape,0,21,0,0,0,4,0,1,0,1
JFreeChart-2.0,org.jfree.chart.plot,Plot,379,769,86,86,115,241,85,72,21,47
JFreeChart-2.0,org.jfree.chart.plot,ThermometerPlot,1190,761,118,74,254,188,126,45,49,25
JFreeChart-2.0,org.jfree.chart.plot,RingPlot,422,262,45,25,111,90,37,28,14,16
JFreeChart-2.0,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2
JFreeChart-2.0,org.jfree.chart.plot,FastScatterPlot,225,808,37,65,74,216,50,52,21,30
JFreeChart-2.0,org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,147,5,41,0,18
JFreeChart-2.0,org.jfree.chart.plot,CategoryMarker,29,93,5,7,7,27,5,10,1,8
JFreeChart-2.0,org.jfree.chart.plot,Crosshair,56,578,1,33,20,159,18,39,17,23
JFreeChart-2.0,org.jfree.chart.plot,MeterPlot,174,1355,50,96,44,349,64,67,19,39
JFreeChart-2.0,org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,32,4,13,2,9
JFreeChart-2.0,org.jfree.chart.plot,CombinedRangeXYPlot,365,507,59,43,94,133,52,29,14,16
JFreeChart-2.0,org.jfree.chart.plot,CombinedRangeCategoryPlot,213,512,41,45,54,138,40,25,8,14
JFreeChart-2.0,org.jfree.chart.plot,MeterInterval,12,123,6,8,6,36,6,11,0,10
JFreeChart-2.0,org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0
JFreeChart-2.0,org.jfree.chart.plot,PlotOrientation,0,23,0,0,0,5,0,3,0,3
JFreeChart-2.0,org.jfree.chart.plot,WaferMapPlot,581,0,44,0,132,0,37,0,15,0
JFreeChart-2.0,org.jfree.chart.plot,PolarAxisLocation,0,51,0,0,0,9,0,1,0,1
JFreeChart-2.0,org.jfree.chart.plot,CombinedDomainCategoryPlot,318,551,49,47,78,142,48,27,12,15
JFreeChart-2.0,org.jfree.chart.plot,XYPlot,2290,4726,365,533,518,1248,316,370,56,181
